type,love,joy,anger,sadness,surprise,fear
infj,0.04228819773277839,0.33571414252406995,0.2209507370515536,0.24408892216264072,0.046251953639679384,0.11070604749990869
intj,0.032165332693216434,0.3439569681613762,0.2951197296742479,0.18925806443728138,0.04358893051803849,0.09591097465825442
infp,0.03546843837980999,0.30264734278771177,0.3053869809079885,0.19647142920157812,0.030803334610412802,0.12922247198424944
intp,0.025971714541896836,0.33314997288892534,0.30390122011592324,0.18013693073012707,0.03768925111215774,0.11915090943852609
entj,0.030791525608661417,0.3421497600422163,0.3361926965212061,0.16879068246133105,0.03429052785215094,0.08778480694762178
enfp,0.04134627520030555,0.3577210320041697,0.2542923046230352,0.19580322340286646,0.03889403341212519,0.11194312952052901
entp,0.027385683194427975,0.3300295367875525,0.33499791856875927,0.16598023390461203,0.039589478982579154,0.1020171474752747
enfj,0.051090528698161004,0.3453068897696944,0.26992841105682225,0.18683281730686638,0.04032379798689066,0.10651755375347384
isfj,0.05792323555960108,0.33278144264891096,0.2883259494931078,0.1687515843652636,0.04051677417454745,0.11170101336303445
istj,0.04259951977787694,0.3302655104205828,0.3292773415674558,0.15504511497609255,0.04267547048697092,0.10013704192520191
istp,0.03439828297389754,0.3324628105783954,0.3094247249980031,0.17520726142843407,0.04113538430170539,0.10737153476948272
isfp,0.03950412888594102,0.3543420658972026,0.29080300194762115,0.16319747889881514,0.03927219112526679,0.112881132202008
esfj,0.05720340140735613,0.3672755903150487,0.28381909803284733,0.14404289111713445,0.040221627759204,0.10743738919180788
estj,0.03829616570409355,0.3357986634210634,0.34996106599720395,0.14368525044357713,0.03183337378596713,0.10042547758381185
estp,0.03356534059811492,0.35251991553280076,0.3213487531619951,0.14629770338092796,0.04276739050493119,0.10350089449892906
esfp,0.039880834542881514,0.37723527622569686,0.2921109720219416,0.1436537457855737,0.04370842203262959,0.1034107483748133
